name,handedness,height,weight,avg,Scaled Avg_1,HR,Scaled HR_1,Performance_1
Tom Brookens,R,70,165,0.246,0.750,71,0.1261,0.4381
Glenn Hubbard,R,69,150,0.244,0.744,70,0.1243,0.4341
Jerry Mumphrey,B,74,185,0.289,0.881,70,0.1243,0.5027
Charley Smith,R,73,170,0.239,0.729,69,0.1226,0.4256
John Ellis,R,74,225,0.262,0.799,69,0.1226,0.4607
Ken Reitz,R,72,180,0.26,0.793,68,0.1208,0.4567
Steve Henderson,R,74,190,0.28,0.854,68,0.1208,0.4872
Art Shamsky,L,73,168,0.253,0.771,68,0.1208,0.4461
Mike Shannon,R,75,195,0.255,0.777,68,0.1208,0.4491
Floyd Robinson,L,69,175,0.283,0.863,67,0.1190,0.4909
Merv Rettenmund,R,70,190,0.271,0.826,66,0.1172,0.4717
Dick Dietz,R,73,195,0.261,0.796,66,0.1172,0.4565
Mike Andrews,R,75,195,0.258,0.787,66,0.1172,0.4519
Danny Cater,R,72,170,0.276,0.841,66,0.1172,0.4793
Joe Lahoud,L,73,198,0.223,0.680,65,0.1155,0.3977
Charlie Spikes,R,75,215,0.246,0.750,65,0.1155,0.4327
Lou Clinton,R,73,185,0.247,0.753,65,0.1155,0.4343
Manny Sanguillen,R,72,193,0.296,0.902,65,0.1155,0.5089
Tom Grieve,R,74,190,0.249,0.759,65,0.1155,0.4373
Butch Wynegar,B,73,190,0.255,0.777,65,0.1155,0.4464
Lamar Johnson,R,74,215,0.287,0.875,64,0.1137,0.4943
Wes Parker,B,73,180,0.267,0.814,64,0.1137,0.4639
Jeff Newman,R,74,215,0.224,0.683,63,0.1119,0.3974
Pat Putnam,L,72,205,0.255,0.777,63,0.1119,0.4447
Bake McBride,L,74,190,0.299,0.912,63,0.1119,0.5117
Ellie Hendricks,L,73,175,0.22,0.671,62,0.1101,0.3904
Dave Revering,L,76,210,0.265,0.808,62,0.1101,0.4590
Wayne Garrett,L,71,175,0.239,0.729,61,0.1083,0.4185
Gary Thomasson,L,73,180,0.249,0.759,61,0.1083,0.4337
Mickey Rivers,L,70,165,0.295,0.899,61,0.1083,0.5039
Ray Fosse,R,74,215,0.256,0.780,61,0.1083,0.4444
Bill Schroeder,R,74,200,0.24,0.732,61,0.1083,0.4200
Dave Nicholson,R,74,215,0.212,0.646,61,0.1083,0.3773
Manny Trillo,R,73,150,0.263,0.802,61,0.1083,0.4551
Ed Brinkman,R,72,170,0.224,0.683,60,0.1066,0.3947
Enos Cabell,R,76,170,0.277,0.845,60,0.1066,0.4755
Adolfo Phillips,R,73,175,0.247,0.753,59,0.1048,0.4289
Bill Sudakis,B,73,190,0.234,0.713,59,0.1048,0.4091
Ron LeFlore,R,72,200,0.288,0.878,59,0.1048,0.4914
Buck Martinez,R,70,190,0.225,0.686,58,0.1030,0.3945
Ken Berry,R,72,175,0.255,0.777,58,0.1030,0.4402
Joe Foy,R,72,215,0.248,0.756,58,0.1030,0.4296
Paul Schaal,R,71,165,0.244,0.744,57,0.1012,0.4226
Barry Foote,R,75,205,0.23,0.701,57,0.1012,0.4012
Rick Manning,L,73,180,0.257,0.784,56,0.0995,0.4415
Bobby Knoop,R,73,170,0.236,0.720,56,0.0995,0.4095
Ron Jackson,R,72,200,0.259,0.790,56,0.0995,0.4446
Barry Bonnell,R,75,190,0.272,0.829,56,0.0995,0.4644
Gene Alley,R,70,160,0.254,0.774,55,0.0977,0.4360
Gary Alexander,R,74,195,0.23,0.701,55,0.0977,0.3995
Clay Dalrymple,L,72,190,0.233,0.710,55,0.0977,0.4040
Cookie Rojas,R,70,160,0.263,0.802,54,0.0959,0.4489
Al Bumbry,L,68,170,0.281,0.857,54,0.0959,0.4763
Champ Summers,L,74,205,0.255,0.777,54,0.0959,0.4367
Johnny Ray,B,71,170,0.29,0.884,53,0.0941,0.4891
Mike Hegan,L,73,188,0.242,0.738,53,0.0941,0.4160
Rich Reese,L,75,185,0.253,0.771,52,0.0924,0.4319
Steve Braun,L,70,180,0.271,0.826,52,0.0924,0.4593
Buddy Bradford,R,71,170,0.226,0.689,52,0.0924,0.3907
Ron Blomberg,L,73,195,0.293,0.893,52,0.0924,0.4928
Cesar Geronimo,L,72,165,0.258,0.787,51,0.0906,0.4386
Al Ferrara,R,73,200,0.259,0.790,51,0.0906,0.4401
Joe Azcue,R,72,190,0.252,0.768,50,0.0888,0.4286
Paul Casanova,R,76,180,0.225,0.686,50,0.0888,0.3874
Tony Solaita,L,72,210,0.255,0.777,50,0.0888,0.4331
Rick Burleson,R,70,165,0.273,0.832,50,0.0888,0.4606
Andy Etchebarren,R,73,190,0.235,0.716,49,0.0870,0.4017
Dave Roberts,R,75,215,0.239,0.729,49,0.0870,0.4078
Dale Berra,R,72,180,0.236,0.720,49,0.0870,0.4033
Lou Johnson,R,71,170,0.258,0.787,48,0.0853,0.4359
Larry Brown,R,70,160,0.233,0.710,47,0.0835,0.3969
Cesar Tovar,R,69,155,0.278,0.848,46,0.0817,0.4646
John Stearns,R,72,185,0.26,0.793,46,0.0817,0.4372
Willie Smith,L,72,182,0.248,0.756,46,0.0817,0.4189
Bill Sample,R,69,175,0.272,0.829,46,0.0817,0.4555
Craig Kusick,R,75,210,0.235,0.716,46,0.0817,0.3991
Bill Russell,R,72,175,0.263,0.802,46,0.0817,0.4418
Sam Bowens,R,73,188,0.223,0.680,45,0.0799,0.3799
Jerry Turner,L,69,180,0.257,0.784,45,0.0799,0.4317
Roy Foster,R,72,185,0.253,0.771,45,0.0799,0.4256
Tito Fuentes,B,71,175,0.268,0.817,45,0.0799,0.4485
Darryl Motley,R,69,196,0.243,0.741,44,0.0782,0.4095
Bob Johnson,R,70,175,0.272,0.829,44,0.0782,0.4537
Bill Stein,R,70,170,0.267,0.814,44,0.0782,0.4461
Phil Roof,R,74,190,0.215,0.655,43,0.0764,0.3659
Derrel Thomas,B,72,160,0.249,0.759,43,0.0764,0.4178
Art Howe,R,74,190,0.26,0.793,43,0.0764,0.4345
Rich Dauer,R,72,180,0.257,0.784,43,0.0764,0.4300
Eddie Milner,L,71,173,0.253,0.771,42,0.0746,0.4230
Terry Crowley,L,72,180,0.25,0.762,42,0.0746,0.4184
Andres Thomas,R,73,170,0.234,0.713,42,0.0746,0.3940
Craig Reynolds,L,73,175,0.256,0.780,42,0.0746,0.4275
Ron Oester,B,74,185,0.265,0.808,42,0.0746,0.4413
George Wright,B,71,180,0.245,0.747,42,0.0746,0.4108
Walt Bond,L,79,228,0.256,0.780,41,0.0728,0.4267
Billy Bryan,L,76,200,0.216,0.659,41,0.0728,0.3657
Dalton Jones,L,73,180,0.235,0.716,41,0.0728,0.3946
Rennie Stennett,R,71,160,0.274,0.835,41,0.0728,0.4541
Dave Stapleton,R,73,178,0.271,0.826,41,0.0728,0.4495
John Castino,R,71,175,0.278,0.848,41,0.0728,0.4602
Freddie Patek,R,65,148,0.242,0.738,41,0.0728,0.4053
Bucky Dent,R,69,170,0.247,0.753,40,0.0710,0.4120
Billy Conigliaro,R,72,180,0.256,0.780,40,0.0710,0.4258
Billy Cowan,R,72,170,0.236,0.720,40,0.0710,0.3953
Joe Hague,L,72,195,0.239,0.729,40,0.0710,0.3999
Marvell Wynne,L,71,175,0.247,0.753,40,0.0710,0.4120
John Orsino,R,75,215,0.249,0.759,40,0.0710,0.4151
Jerry Royster,R,72,165,0.249,0.759,40,0.0710,0.4151
Ed Spiezio,R,71,180,0.238,0.726,39,0.0693,0.3974
Ron Hunt,R,72,186,0.273,0.832,39,0.0693,0.4508
Frank Fernandez,R,72,185,0.199,0.607,39,0.0693,0.3380
Hector Cruz,R,71,170,0.225,0.686,39,0.0693,0.3776
Rob Wilfong,L,73,180,0.248,0.756,39,0.0693,0.4127
Wayne Nordhagen,R,74,205,0.282,0.860,39,0.0693,0.4645
Jerry Grote,R,70,185,0.252,0.768,39,0.0693,0.4188
Benny Ayala,R,73,185,0.251,0.765,38,0.0675,0.4164
Chris Brown,R,72,185,0.269,0.820,38,0.0675,0.4438
Mickey Hatcher,R,74,200,0.28,0.854,38,0.0675,0.4606
Brant Alyea,R,75,215,0.247,0.753,38,0.0675,0.4103
Floyd Rayford,R,70,190,0.244,0.744,38,0.0675,0.4057
Omar Moreno,L,74,180,0.252,0.768,37,0.0657,0.4170
Pedro Garcia,R,70,175,0.22,0.671,37,0.0657,0.3682
Dave Hostetler,R,76,215,0.229,0.698,37,0.0657,0.3819
Luis Aguayo,R,69,173,0.236,0.720,37,0.0657,0.3926
Len Gabrielson,L,76,210,0.253,0.771,37,0.0657,0.4185
Bump Wills,B,69,172,0.266,0.811,36,0.0639,0.4375
Larry Stahl,L,72,175,0.232,0.707,36,0.0639,0.3856
Vic Davalillo,L,67,150,0.279,0.851,36,0.0639,0.4573
Terry Harper,R,76,195,0.253,0.771,36,0.0639,0.4176
Ted Uhlaender,L,74,190,0.263,0.802,36,0.0639,0.4329
Damaso Garcia,R,73,165,0.283,0.863,36,0.0639,0.4634
Charlie Moore,R,71,180,0.261,0.796,36,0.0639,0.4298
Bill Almon,R,75,180,0.254,0.774,36,0.0639,0.4192
Rusty Torres,B,70,175,0.212,0.646,35,0.0622,0.3543
Al Woods,L,75,190,0.271,0.826,35,0.0622,0.4442
R.J. Reynolds,B,72,190,0.267,0.814,35,0.0622,0.4381
Jake Wood,R,73,163,0.25,0.762,35,0.0622,0.4122
Marc Hill,R,75,205,0.223,0.680,34,0.0604,0.3701
Mike Vail,R,73,180,0.279,0.851,34,0.0604,0.4555
Glenn Adams,L,73,180,0.28,0.854,34,0.0604,0.4570
Todd Cruz,R,72,175,0.22,0.671,34,0.0604,0.3656
Mike Cubbage,L,72,180,0.258,0.787,34,0.0604,0.4235
Tommy Helms,R,70,165,0.269,0.820,34,0.0604,0.4403
Ted Savage,R,73,185,0.233,0.710,34,0.0604,0.3854
Walt Williams,R,66,165,0.27,0.823,33,0.0586,0.4409
Terry Whitfield,L,73,197,0.281,0.857,33,0.0586,0.4577
Jim Essian,R,74,195,0.244,0.744,33,0.0586,0.4013
Bob Stinson,B,71,180,0.25,0.762,33,0.0586,0.4104
Ed Ott,L,70,190,0.259,0.790,33,0.0586,0.4241
Al Luplow,L,70,175,0.235,0.716,33,0.0586,0.3875
Ivan Murrell,R,74,195,0.236,0.720,33,0.0586,0.3891
Dave Collins,B,71,175,0.272,0.829,32,0.0568,0.4431
Jesus Alou,R,74,190,0.28,0.854,32,0.0568,0.4552
Mickey Brantley,R,70,180,0.259,0.790,32,0.0568,0.4232
Clint Hurdle,L,75,195,0.259,0.790,32,0.0568,0.4232
Joe Lis,R,72,175,0.233,0.710,32,0.0568,0.3836
Rowland Office,L,72,170,0.259,0.790,32,0.0568,0.4232
John Kennedy,R,72,185,0.225,0.686,32,0.0568,0.3714
Ken Boswell,L,72,170,0.248,0.756,31,0.0551,0.4056
Chico Salmon,R,70,160,0.249,0.759,31,0.0551,0.4071
Dave Engle,R,75,210,0.262,0.799,31,0.0551,0.4269
Mike Diaz,R,74,195,0.247,0.753,31,0.0551,0.4041
Matty Alou,L,69,160,0.307,0.936,31,0.0551,0.4955
Joe Lefebvre,L,70,170,0.258,0.787,31,0.0551,0.4208
Carl Warwick,R,70,170,0.248,0.756,31,0.0551,0.4056
Manny Mota,R,70,160,0.304,0.927,31,0.0551,0.4909
David Green,R,75,170,0.268,0.817,31,0.0551,0.4361
Leron Lee,L,72,196,0.25,0.762,31,0.0551,0.4086
Fred Kendall,R,73,185,0.234,0.713,31,0.0551,0.3842
Buck Rodgers,B,74,190,0.232,0.707,31,0.0551,0.3812
